Package,Built
assertthat,3.3.3
backports,3.3.3
base64enc,3.3.2
BH,3.3.3
bindr,3.3.3
bindrcpp,3.3.3
bitops,3.3.2
broom,3.3.3
callr,3.3.3
caTools,3.3.2
cellranger,3.3.3
cli,3.3.3
clipr,3.3.3
clisymbols,3.3.3
colorspace,3.3.2
crayon,3.3.3
crosstalk,3.3.3
curl,3.3.3
data.table,3.3.3
DBI,3.3.3
dbplyr,3.3.3
desc,3.3.2
dichromat,3.3.2
digest,3.3.2
dplyr,3.3.3
evaluate,3.3.3
extraDistr,3.3.3
forcats,3.3.2
formatR,3.3.3
fs,3.3.3
geomnet,3.3.3
ggplot2,3.3.2
ggrepel,3.3.3
ggridges,3.3.3
gh,3.3.3
git2r,3.3.3
glue,3.3.3
gridExtra,3.3.3
gtable,3.3.2
haven,3.3.3
here,3.3.3
hexbin,3.3.3
highr,3.3.2
hms,3.3.3
htmltools,3.3.3
htmlwidgets,3.3.3
httpuv,3.3.3
httr,3.3.3
ini,3.3.2
inline,3.3.3
jsonlite,3.3.3
knitr,3.3.3
labeling,3.3.2
lazyeval,3.3.3
lubridate,3.3.3
magrittr,3.3.2
mapproj,3.3.3
maps,3.3.3
maptools,3.3.3
markdown,3.3.3
mime,3.3.2
mnormt,3.3.2
modelr,3.3.3
munsell,3.3.2
network,3.3.3
openssl,3.3.3
pkgconfig,3.3.3
plogr,3.3.3
plotly,3.3.3
plyr,3.3.2
prophet,3.3.3
psych,3.3.3
purrr,3.3.3
R6,3.3.3
RColorBrewer,3.3.2
Rcpp,3.3.3
RcppEigen,3.3.3
readr,3.3.3
readxl,3.3.3
rematch,3.3.3
reprex,3.3.3
reshape2,3.3.3
rgeos,3.3.3
rlang,3.3.3
rmarkdown,3.3.3
RMySQL,3.3.3
RODBC,3.3.3
rprojroot,3.3.2
rstan,3.3.3
rstudioapi,3.3.3
rvest,3.3.2
scales,3.3.3
selectr,3.3.2
shiny,3.3.3
sna,3.3.3
sourcetools,3.3.3
sp,3.3.3
StanHeaders,3.3.3
statnet.common,3.3.3
stringi,3.3.3
stringr,3.3.2
tibble,3.3.3
tidyr,3.3.3
tidyselect,3.3.3
tidyverse,3.3.3
tree,3.3.3
usethis,3.3.2
viridisLite,3.3.3
whisker,3.3.3
XML,3.3.3
xml2,3.3.2
xtable,3.3.3
yaml,3.3.3
zoo,3.3.3
