Package,LibPath,Version,Priority,Built
assertthat,H:/R/R-3.3.2/library,0.2.0,NA,3.3.3
backports,H:/R/R-3.3.2/library,1.1.1,NA,3.3.3
base,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
base64enc,H:/R/R-3.3.2/library,0.1-3,NA,3.3.2
BH,H:/R/R-3.3.2/library,1.65.0-1,NA,3.3.3
bindr,H:/R/R-3.3.2/library,0.1,NA,3.3.3
bindrcpp,H:/R/R-3.3.2/library,0.2,NA,3.3.3
bitops,H:/R/R-3.3.2/library,1.0-6,NA,3.3.2
boot,H:/R/R-3.3.2/library,1.3-20,recommended,3.3.3
broom,H:/R/R-3.3.2/library,0.4.3,NA,3.3.3
callr,H:/R/R-3.3.2/library,1.0.0,NA,3.3.3
caTools,H:/R/R-3.3.2/library,1.17.1,NA,3.3.2
cellranger,H:/R/R-3.3.2/library,1.1.0,NA,3.3.3
class,H:/R/R-3.3.2/library,7.3-14,recommended,3.3.2
cli,H:/R/R-3.3.2/library,1.0.0,NA,3.3.3
clipr,H:/R/R-3.3.2/library,0.4.0,NA,3.3.3
clisymbols,H:/R/R-3.3.2/library,1.2.0,NA,3.3.3
cluster,H:/R/R-3.3.2/library,2.0.6,recommended,3.3.3
codetools,H:/R/R-3.3.2/library,0.2-15,recommended,3.3.2
colorspace,H:/R/R-3.3.2/library,1.3-2,NA,3.3.2
compiler,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
crayon,H:/R/R-3.3.2/library,1.3.4,NA,3.3.3
crosstalk,H:/R/R-3.3.2/library,1.0.0,NA,3.3.3
curl,H:/R/R-3.3.2/library,3.0,NA,3.3.3
data.table,H:/R/R-3.3.2/library,1.10.4-3,NA,3.3.3
datasets,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
DBI,H:/R/R-3.3.2/library,0.7,NA,3.3.3
dbplyr,H:/R/R-3.3.2/library,1.1.0,NA,3.3.3
desc,H:/R/R-3.3.2/library,1.2.0,NA,3.3.2
dichromat,H:/R/R-3.3.2/library,2.0-0,NA,3.3.2
